"id","name","date_entered","date_modified","modified_user_id","created_by","description","deleted","assigned_user_id","account_type","industry","annual_revenue","phone_fax","billing_address_street","billing_address_city","billing_address_state","billing_address_postalcode","billing_address_country","rating","phone_office","phone_alternate","website","ownership","employees","ticker_symbol","shipping_address_street","shipping_address_city","shipping_address_state","shipping_address_postalcode","shipping_address_country","parent_id","sic_code","campaign_id"
"104b0122-2622-2668-8dba-575c3ee27c0b","eLearning Serv","2016-06-11 11:06:00","2016-06-11 11:06:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,,,,,,,,,,,"9zjn2CEEAXGrmigFHWOTwaSyBZ6gFLKJiqAID5b50Z8=",,,,,,,,,,,
"1051abc0-378e-6029-1ae8-52cf864e21b0","Language to Language","2014-01-10 00:06:00","2014-06-18 01:18:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,"0",,,,,,,,,,"9zjn2CEEAXG8EyBahF1AOn4qKc3z0IqYA5x9qAn7jZs=",,"0",,,,,,,,"0",
"10860825-34a6-2b63-c900-5358ab73bb43","Afrolingo","2014-04-24 00:45:00","2014-04-24 00:45:00","9c772059-c103-be30-e89e-52b90d9098a7","9c772059-c103-be30-e89e-52b90d9098a7",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,,,"Nabui House, 4th floor, Woodvale Av., off Mpaka Road, Westlands
PO Box 66270 - 00800
Nairobi, Kenya","Nairobi",,,"Kenya",,,,"9zjn2CEEAXFaY29Z8WfxxJe5GYqVu5kIGLjCmNsQm3c=",,,,"Nabui House, 4th floor, Woodvale Av., off Mpaka Road, Westlands
PO Box 66270 - 00800
Nairobi, Kenya","Nairobi",,,"Kenya",,,
"10a6f961-5788-b49b-8420-52cf8619a0e5","amesto translation","2014-01-10 00:06:00","2014-01-10 00:06:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,"0","+44  (0) 207 887 6001",,,,,,,"+44  (0) 207 887 6247",,"9zjn2CEEAXGTrBb8ztWOqq23akozQs1u",,"0",,"Berkeley Square House,  2nd Floor London  W1J 6BD",,,,,,"0",
"10cb5469-ef93-23b2-eb45-52cf869e845b","Extentia Information Tecchnology","2014-01-10 00:06:00","2014-01-10 00:06:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec","There was a requirement for project, it came, but them the requirement went cold. We are in talks with them for more projects","0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3","Prospect",,"0","-26153033",,,,,,,"-67285229",,"9zjn2CEEAXGBHNrP8n9TFNkzRBnTLztv","Private","0",,"Extentia Tower Road 12A, Kalyani Nagar Pune",,,,,,"0",
"116e5ad8-7605-0add-9681-625ec059f5e0","testAccountID2","2022-04-19 14:01:30","2022-05-19 10:15:18","12a4e58a-0f58-f2e9-109b-60db2dffa10d","6c63b1cf-dd47-3a48-33e5-60dc644f346b",,"1","6c63b1cf-dd47-3a48-33e5-60dc644f346b",,,,,,,,,,NULL,,NULL,"tPP9I3wP1O7tGvwi7hprI9pu5uMaMlGj",NULL,,NULL,,,,,,,NULL,
"11728e7e-4c3c-46f1-a83f-60e810b305c5","ANSYS","2021-07-09 03:32:00","2021-07-09 03:32:00","e31bef39-71e9-8998-e7cf-60db27351b1c","e31bef39-71e9-8998-e7cf-60db27351b1c",,"0","c60008fb-dc9b-5bf8-4e69-60e2ccaa9f72",,,,,,,,,"India",,,,"y0Gy2r3bLMrMO7JkPdY4fJ36L7ZGMDeJ",,,,,,,,,,,
"11cf5184-813f-ac29-b565-52cf86478990","UIDAI","2014-01-10 00:06:00","2014-01-10 00:06:00","9c772059-c103-be30-e89e-52b90d9098a7","9c772059-c103-be30-e89e-52b90d9098a7",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,"0",,,,,,,,,,"KctdOVj2xuY=",,"0",,,,,,,,"0",
"11f09ac2-c65f-675e-a1eb-52cf867e59e7","MSD Pharmaceuticals Pvt. Ltd","2014-01-10 00:06:00","2014-01-10 00:06:00","9b454ffd-8976-c015-340a-52b91354a91f","9b454ffd-8976-c015-340a-52b91354a91f",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,"0",,,,,,,,,,"KctdOVj2xuY=",,"0",,,,,,,,"0",
"123baf61-ac32-969f-e3ea-52cf863c62ff","HCL","2014-01-10 00:06:00","2014-01-10 00:06:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3","Prospect",,"0",,,,,,,,,,"KctdOVj2xuY=","Private","0",,"B-26, Sector 8,","Noida","UP",,"India",,"0",
"12e149aa-8bf7-8ede-788a-577faeb827b5","TripHobo","2016-07-08 08:17:00","2016-07-08 08:17:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,,,,,,,,,,,"9zjn2CEEAXFABKL6611HbH7zDwv2Lemr",,,,,,,,,,,
"132b513d-7602-46fa-e7a3-52cf86bc252e","Ccaps Translation and Localization","2014-01-10 00:06:00","2014-01-10 00:06:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,"0",,,,,,,,"55 (21) 2507-5989",,"EW02KxWAI1chtDBfkbsIsw==",,"0",,,,,,,,"0",
"1340e64a-7b1b-9cb3-858c-52cf86706d03","Busy Tokyo","2014-01-10 00:06:00","2014-01-10 00:06:00","1","1",,"0","52df71cb-82fa-9376-9da7-60e7d74f0e09",,,,,,,,,,,,,"KctdOVj2xuY=",,,,,,,,,,,
"13c831ab-fcb5-d03a-86e9-6203a1881918","Mahindra and Mahindra  Ltd.","2022-02-09 05:43:00","2022-02-09 05:43:00","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,,,,,,,,,,,"zwTXdVlulLHR086VB0zXKg==",,,,,,,,,,,
"146eb3f1-8bc8-d5e1-31ca-618b4d69d57c","Mobileum","2021-11-09 23:10:00","2021-11-09 23:10:00","c60008fb-dc9b-5bf8-4e69-60e2ccaa9f72","c60008fb-dc9b-5bf8-4e69-60e2ccaa9f72",,"0","c60008fb-dc9b-5bf8-4e69-60e2ccaa9f72","Customer","Other",,,,,,,"India",,,,"9zjn2CEEAXFQQnuaWPsyxdMImN9vgwPH",,,,,,,,,,,
"14813f48-e517-963b-e56e-52cf86173aa3","Trusted Translations","2014-01-10 00:06:00","2018-08-02 08:03:00","9c772059-c103-be30-e89e-52b90d9098a7","7767cb6e-8535-d99e-7234-52b9137ef1ec",,"0","1e60b152-a68f-11a5-3546-60e2cc8e329d",,,"0",,,,,,,,,,"KctdOVj2xuY=",,"0",,,,,,,,"0",
"14a808b1-1029-39ad-f30e-52cf868fbb0f","Shams International","2014-01-10 00:06:00","2014-02-13 08:12:00","af66a9e4-bda3-ca80-8b94-52b90f86f9b6","1",,"0","6c63b1cf-dd47-3a48-33e5-60dc644f346b",,,,,,,,,,,,,"KctdOVj2xuY=",,,,,,,,,,,
"14baf1ff-3110-3fcd-dea2-62944e98850d","Polymerize","2022-05-30 04:56:11","2022-05-30 04:56:11","74a1dd5e-cb0b-f4bf-42a2-60e2cb12678c","74a1dd5e-cb0b-f4bf-42a2-60e2cb12678c",,"0","74a1dd5e-cb0b-f4bf-42a2-60e2cb12678c",,,,,,,,,,NULL,,NULL,"y0Gy2r3bLMrcB0toU95qL1l8S1yjMEpl",NULL,,NULL,,,,,,,NULL,
"14d6c8c7-6249-d746-3a32-5facd6022049","Flipkart","2020-11-12 01:01:00","2020-11-12 01:01:00","9c772059-c103-be30-e89e-52b90d9098a7","9c772059-c103-be30-e89e-52b90d9098a7",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,,,,,,,,,,,"9zjn2CEEAXFvhp836LWRN/NloyqQPehO",,,,,,,,,,,
"14dc914b-9d66-e42b-433b-52cf863bb98d","amity communications","2014-01-10 00:06:00","2014-01-10 00:06:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,"0",,,,,,,,"44 07507894297",,"ZYW3cBdWLFfppAQ6z8frrNpu5uMaMlGj",,"0",,,,,,,,"0",
"1510f2b2-e2e3-4a17-4b2a-52cf86d4eeeb","Exxonmobil Company India Pvt. Ltd.","2014-01-10 00:06:00","2014-01-10 00:06:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,"0","080-42510298",,,,,,,"080-42510110",,"X8yJuho85wwOYepSNDZZY9pu5uMaMlGj",,"0",,,,,,,,"0",
"15dc0742-149d-ae70-c473-52cf869eb39d","UK TechTrans Ltd","2014-01-10 00:06:00","2014-01-10 00:06:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,"0",,,,,,,,"44 (0)1753 645246",,"MRSIYP7bN00HYixsPDLH7kWpb/Ua02rP",,"0",,,,,,,,"0",
"16320ec3-f2f3-0c13-7962-60e8120999fc","FT_SDL Japan","2021-07-09 03:39:00","2021-07-09 03:39:00","e31bef39-71e9-8998-e7cf-60db27351b1c","e31bef39-71e9-8998-e7cf-60db27351b1c",,"0","b569b6a2-80cd-75c3-d7ea-60db29fd6e02",,,,,,,,,"Japan",,,,"9zjn2CEEAXGZc0VS5jxrZA+CJArikch5",,,,,,,,,,,
"1654f0ef-d275-8752-e46c-52cf8614ea7a","Lingvopedia","2014-01-10 00:06:00","2014-01-10 00:06:00","1","9c772059-c103-be30-e89e-52b90d9098a7",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,,,,,,,,,,,"KctdOVj2xuY=",,,,,,,,,,,
"16768810-8dc8-763a-fd4a-52cf86ad16d0","mt-g Medical Translation","2014-01-10 00:06:00","2014-01-10 00:06:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec","This is an active account for translation work","0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3","Partner",,"0","+49 731 176397-50",,,,,,"Active","+49 731 176397-54",,"9zjn2CEEAXFJR3KU19GcaoafhRduVrZM","Private","0",,"mt-g medical translation GmbH & Co. KG Stuttgarter Stra??e 155 89075 Ulm",,,,,,"0",
"16881aac-d396-88dc-f3ac-53bb82595f2b","The Translation Studio","2014-07-08 00:01:00","2014-07-08 00:01:00","7767cb6e-8535-d99e-7234-52b9137ef1ec","7767cb6e-8535-d99e-7234-52b9137ef1ec",,"0","c0cbbe23-a6da-1f83-6408-60dc5be1c4c3",,,,,,,,,,,,,"9zjn2CEEAXEMOEHvUBvyfubK8edCGRzVTErgD0AYccBFqW/1GtNqzw==",,,,,,,,,,,
"1753d549-09bc-de89-9aeb-52cf86bf0943","Amitelic LLC","2014-01-10 00:06:00","2014-01-10 00:06:00","1","1",,"0","52df71cb-82fa-9376-9da7-60e7d74f0e09",,,,,,,,,,,,,"KctdOVj2xuY=",,,,,,,,,,,
